time;index;headline
20.09.2025 11:44:14;1;TourismusUnfälle ausländischer Gäste sind teuer für die GemeindenWenn ausländische Gäste trotz offener Rechnungen abreisen, bleiben manche Gemeinden auf den Kosten sitzen.
20.09.2025 11:44:14;2;Wolf-RegulierungSoll man den Wolf «in flagranti» schiessen?Mit einem Verteidigungsabschuss könnten bewaffnete Hirten Wölfe bei einem Angriff töten.
20.09.2025 11:44:14;3;«Arena» zu den USAVerschärft sich der Ton in der Politik auch in der Schweiz?Debattenkultur, Meinungsfreiheit und Polarisierung: Das Attentat auf Charlie Kirk löst heftige Diskussionen aus.
20.09.2025 11:44:14;4;Ausländische FachkräfteTrump verfügt Gebühr von 100'000 Dollar für Visa-KategorieUnternehmen sollen künftig 100'000 US-Dollar pro Jahr für ein sogenanntes H-1B-Visum zahlen, teilte die Regierung mit.
20.09.2025 11:44:14;5;KI-Videos erkennenWenn das Weisse Haus brennt und Krokodile in der Limmat schwimmenDeepfake-Videos überschwemmen das Netz und werden immer realistischer.
20.09.2025 11:44:14;6;Late-Night-ShowmasterJimmy Kimmel abgesetzt: Kontroverse Äusserungen oder Machtspiel?Der US-Sender ABC begründet den Schritt mit Kimmels Aussagen zu Charlie Kirks Attentäter.
20.09.2025 11:44:14;7;newsticker05:39Krieg in der UkraineEstland beantragt nach Luftraumverletzung Nato-KonsultationenDie neuesten Einträge aus dem Liveticker:9:17Ukraine: Tote und Verletzte nach russischen Angriffen8:54Polen meldet Ende von Einsatz zur Luftraumsicherung7:08Polen lässt Kampfflugzeuge aufsteigen – Luftalarm in der Ukraine
20.09.2025 11:44:14;8;Trauer um Alfred Heer«Ruhe in Frieden, lieber Fredi!»Die Schweizer Politik trauert um den unerwartet verstorbenen Zürcher SVP-Nationalrat Alfred Heer.
20.09.2025 11:44:14;9;EU uneins bei KlimazielenHoffnungen auf Vorreiterrolle Europas bröckelnDie EU sollte ein verschärftes Klimaziel für 2025 vorlegen.
20.09.2025 11:44:14;10;Entlastungspaket 27Das Sparprogramm des Bundesrats stösst auf WiderstandKritik kommt von links, von rechts und von der Mitte.
